Unnamed: 0,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Prediction,Prediction_Label
624,192.168.4.118-203.73.24.75-4504-80-6,192.168.4.118,4504,203.73.24.75,80,6,12/06/2010 08:34:32 AM,3974862,29,44,86.0,59811.0,86.0,0.0,2.9655172413793096,15.969799083226464,1460.0,0.0,1359.3409090909086,372.0271897528908,15068.950821437324,18.365417466065487,55206.41666666666,195478.31665363663,1566821.0,167.0,3735347.0,133405.25,341775.6887123293,1805015.0,167.0,3974862.0,92438.65116279072,248174.8205743075,1566821.0,3997.0,0,0,0,0,768,896,7.295850774190399,11.069566691875089,0.0,1460.0,809.4189189189186,728.8624277195806,531240.438541281,0,1,0,0,0,0,0,0,1.0,820.5068493150685,2.9655172413793105,1359.340909090909,0,0,0,0,0,0,29,86,44,59811,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
625,192.168.4.118-203.73.24.75-4504-80-6,192.168.4.118,4504,203.73.24.75,80,6,12/06/2010 08:34:36 AM,63,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31746.031746031746,63.0,0.0,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,15873.015873015873,15873.015873015873,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,17520,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
626,192.168.4.118-203.73.24.75-4505-80-6,192.168.4.118,4505,203.73.24.75,80,6,12/06/2010 08:34:36 AM,476078,2,6,86.0,3037.0,86.0,0.0,43.0,60.8111831820431,1460.0,0.0,506.16666666666674,740.224402912162,6559.849436436886,16.80396909750083,68011.14285714286,110862.70745149691,232203.0,6.0,134.0,134.0,0.0,134.0,134.0,476078.0,95215.6,123467.30357993567,232601.0,6.0,0,0,0,0,40,136,4.200992274375206,12.602976823125625,0.0,1460.0,347.0,632.5152172082503,400075.5,0,1,0,0,0,0,0,0,3.0,390.375,43.0,506.16666666666674,0,0,0,0,0,0,2,86,6,3037,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
627,192.168.4.118-203.73.24.75-4505-80-6,192.168.4.118,4505,203.73.24.75,80,6,12/06/2010 08:34:37 AM,151,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19867.54966887417,75.5,98.28784258493008,145.0,6.0,145.0,145.0,0.0,145.0,145.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,13245.033112582783,6622.516556291392,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,17520,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
628,192.168.4.118-203.73.24.75-4506-80-6,192.168.4.118,4506,203.73.24.75,80,6,12/06/2010 08:34:37 AM,472507,2,5,73.0,1050.0,73.0,0.0,36.5,51.61879502661797,1050.0,0.0,210.0,469.5742752749558,2376.6843665808124,14.814595339328308,78751.16666666669,118675.49225078724,232355.0,7.0,179.0,179.0,0.0,179.0,179.0,472507.0,118126.75,131726.85733333448,232875.0,7.0,0,0,0,0,40,116,4.232741525522373,10.581853813805932,0.0,1050.0,140.375,368.4306244057353,135741.125,0,1,0,0,0,0,0,0,2.0,160.42857142857142,36.5,210.0,0,0,0,0,0,0,2,73,5,1050,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
629,192.168.4.118-203.73.24.75-4506-80-6,192.168.4.118,4506,203.73.24.75,80,6,12/06/2010 08:34:37 AM,138,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14492.753623188406,138.0,0.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,7246.376811594203,7246.376811594203,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16470,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
630,192.168.4.118-203.73.24.75-4507-80-6,192.168.4.118,4507,203.73.24.75,80,6,12/06/2010 08:34:37 AM,469596,2,5,69.0,890.0,69.0,0.0,34.5,48.790367901871775,890.0,0.0,178.0,398.02009999496255,2042.1809385088443,14.906430208093765,78266.0,118162.33215200182,231830.0,7.0,142.0,142.0,0.0,142.0,142.0,469596.0,117399.0,131247.33116524693,232353.0,7.0,0,0,0,0,40,116,4.258980059455362,10.647450148638404,0.0,890.0,119.875,312.11281728613085,97414.41071428572,0,1,0,0,0,0,0,0,2.0,137.0,34.5,178.0,0,0,0,0,0,0,2,69,5,890,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
631,192.168.4.118-203.73.24.75-4507-80-6,192.168.4.118,4507,203.73.24.75,80,6,12/06/2010 08:34:37 AM,1978,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.1223458038424,1978.0,0.0,1978.0,1978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,505.5611729019212,505.5611729019212,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16630,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
632,192.168.4.118-203.73.24.75-4508-80-6,192.168.4.118,4508,203.73.24.75,80,6,12/06/2010 08:34:37 AM,468629,2,5,70.0,669.0,70.0,0.0,35.0,49.49747468305833,669.0,0.0,133.8,299.1858953894718,1576.9403942137594,14.937189119751446,78104.83333333334,119118.09406201338,235236.0,6.0,92.0,92.0,0.0,92.0,92.0,468629.0,117157.25,132649.37390322154,235540.0,6.0,0,0,0,0,40,116,4.267768319928984,10.66942079982246,0.0,669.0,92.375,234.27574565029136,54885.12500000001,0,1,0,0,0,0,0,0,2.0,105.57142857142856,35.0,133.8,0,0,0,0,0,0,2,70,5,669,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
633,192.168.4.118-203.73.24.75-4508-80-6,192.168.4.118,4508,203.73.24.75,80,6,12/06/2010 08:34:38 AM,102,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19607.843137254906,102.0,0.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,9803.921568627453,9803.921568627453,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16851,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
636,192.168.4.118-203.73.24.75-4509-80-6,192.168.4.118,4509,203.73.24.75,80,6,12/06/2010 08:34:38 AM,1434885,14,25,63.0,31473.0,63.0,0.0,4.499999999999999,16.837458240482732,1460.0,0.0,1258.92,491.7053589295117,21978.06792878872,27.179878526850587,37760.13157894735,78207.73823473626,241160.0,142.0,1178154.0,90627.23076923077,106869.98664354882,262982.0,142.0,1434885.0,59786.87500000003,95568.9361666602,241160.0,3748.0,0,0,0,0,280,516,9.756879471177133,17.42299905567345,0.0,1460.0,788.4,726.1693593518927,527321.9384615384,0,1,0,0,0,0,0,0,1.0,808.6153846153846,4.5,1258.92,0,0,0,0,0,0,14,63,25,31473,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
637,192.168.4.118-203.73.24.75-4509-80-6,192.168.4.118,4509,203.73.24.75,80,6,12/06/2010 08:34:39 AM,39,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,25641.02564102564,25641.02564102564,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16707,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
638,192.168.4.118-203.73.24.75-4510-80-6,192.168.4.118,4510,203.73.24.75,80,6,12/06/2010 08:34:39 AM,966411,6,12,63.0,11803.0,63.0,0.0,10.5,25.71964229922337,1460.0,0.0,983.5833333333331,704.4465859270258,12278.419844144986,18.62561580942269,56847.70588235294,100400.5846022352,238499.0,6.0,732476.0,146495.2,129599.20072168656,248169.0,135.0,966411.0,87855.54545454544,115204.12733523366,239854.0,6.0,0,0,0,0,120,256,6.2085386031409,12.4170772062818,0.0,1460.0,624.5263157894738,732.6234722193817,536737.1520467835,0,1,0,0,0,0,0,0,2.0,659.2222222222222,10.5,983.5833333333336,0,0,0,0,0,0,6,63,12,11803,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
639,192.168.4.118-203.73.24.75-4510-80-6,192.168.4.118,4510,203.73.24.75,80,6,12/06/2010 08:34:40 AM,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333333.33333333326,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,166666.66666666663,166666.66666666663,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,17520,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
640,192.168.4.118-203.73.24.75-4511-80-6,192.168.4.118,4511,203.73.24.75,80,6,12/06/2010 08:34:40 AM,510476,6,11,70.0,11403.0,70.0,0.0,11.666666666666664,28.57738033247041,1460.0,0.0,1036.6363636363635,670.8147691765996,22475.10166981406,33.30225123218329,31904.750000000004,78336.85343055338,233822.0,133.0,276999.0,55399.8,111345.10637966989,254475.0,133.0,510476.0,51047.60000000001,95784.02735691956,234382.0,3253.0,0,0,0,0,120,236,11.753735729005866,21.548515503177423,0.0,1460.0,637.3888888888888,728.1251620662391,530166.2516339871,0,1,0,0,0,0,0,0,1.0,674.8823529411766,11.666666666666664,1036.6363636363635,0,0,0,0,0,0,6,70,11,11403,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
641,192.168.4.118-203.73.24.75-4511-80-6,192.168.4.118,4511,203.73.24.75,80,6,12/06/2010 08:34:41 AM,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333333.33333333326,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,166666.66666666663,166666.66666666663,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
644,192.168.4.118-203.73.24.75-4512-80-6,192.168.4.118,4512,203.73.24.75,80,6,12/06/2010 08:34:41 AM,513876,6,11,70.0,11403.0,70.0,0.0,11.666666666666664,28.57738033247041,1460.0,0.0,1036.6363636363635,670.8147691765996,22326.39780803151,33.08191081116845,32117.25,77781.35894201559,231567.0,136.0,281121.0,56224.2,113058.83149581905,258371.0,136.0,513876.0,51387.6,94937.27717486834,232090.0,3250.0,0,0,0,0,120,236,11.675968521588864,21.40594228957959,0.0,1460.0,637.3888888888888,728.1251620662391,530166.2516339871,0,1,0,0,0,0,0,0,1.0,674.8823529411766,11.666666666666664,1036.6363636363635,0,0,0,0,0,0,6,70,11,11403,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
645,192.168.4.118-203.73.24.75-4512-80-6,192.168.4.118,4512,203.73.24.75,80,6,12/06/2010 08:34:41 AM,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333333.33333333326,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,166666.66666666663,166666.66666666663,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
646,192.168.4.118-203.73.24.75-4513-80-6,192.168.4.118,4513,203.73.24.75,80,6,12/06/2010 08:34:41 AM,506932,6,11,70.0,11403.0,70.0,0.0,11.666666666666664,28.57738033247041,1460.0,0.0,1036.6363636363635,670.8147691765996,22632.226807540254,33.53506979239819,31683.25,77944.2838532756,231716.0,121.0,274077.0,54815.4,110050.36338104476,251583.0,121.0,506932.0,50693.19999999999,95294.54670628092,232156.0,3250.0,0,0,0,0,120,236,11.835906985552304,21.69916280684589,0.0,1460.0,637.3888888888888,728.1251620662391,530166.2516339871,0,1,0,0,0,0,0,0,1.0,674.8823529411766,11.666666666666664,1036.6363636363635,0,0,0,0,0,0,6,70,11,11403,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
647,192.168.4.118-203.73.24.75-4513-80-6,192.168.4.118,4513,203.73.24.75,80,6,12/06/2010 08:34:42 AM,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333333.33333333326,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,166666.66666666663,166666.66666666663,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16337,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
652,192.168.4.118-203.73.24.75-4514-80-6,192.168.4.118,4514,203.73.24.75,80,6,12/06/2010 08:34:42 AM,534657,6,11,70.0,11403.0,70.0,0.0,11.666666666666664,28.57738033247041,1460.0,0.0,1036.6363636363635,670.8147691765996,21458.61739395537,31.79608608883827,33416.0625,82878.12294887696,255241.0,126.0,296931.0,59386.2,120140.1226410228,274199.0,126.0,534657.0,53465.69999999999,101386.62664282262,255572.0,3250.0,0,0,0,0,120,236,11.22214803135468,20.573938057483577,0.0,1460.0,637.3888888888888,728.1251620662391,530166.2516339871,0,1,0,0,0,0,0,0,1.0,674.8823529411766,11.666666666666664,1036.6363636363635,0,0,0,0,0,0,6,70,11,11403,-1,5840,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos,1,attack
