Unnamed: 0,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Prediction,Prediction_Label
1445871,172.31.0.2-172.31.66.76-53-55330-17,172.31.66.76,55330,172.31.0.2,53,17,20/02/2018 10:36:27,22123,2,2,72.0,194.0,36.0,36.0,36.0,0.0,97.0,97.0,97.0,0.0,12023.68575690458,180.8073046151065,7374.333333333334,11315.938597099816,20432.0,429.0,21694.0,21694.0,0.0,21694.0,21694.0,20861.0,20861.0,0.0,20861.0,20861.0,0,0,0,0,16,16,90.40365230755324,90.40365230755324,36.0,97.0,60.4,33.411076007815126,1116.3,0,0,0,0,0,0,0,0,1.0,75.5,36.0,97.0,0,0,0,0,0,0,2,72,2,194,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,0,normal
283411,172.217.9.228-192.168.10.15-443-53799-6,192.168.10.15,53799,172.217.9.228,443,6,04/07/2017 12:15:36 AM,3095495,4,2,77.0,92.0,46.0,0.0,19.25,23.056091024571646,46.0,46.0,46.0,0.0,54.59546857610818,1.9383006595067995,619099.0,1322575.2609619235,2984691.0,3.0,3001930.0,1000643.3333333333,1718257.2862573094,2984691.0,3.0,37178.0,37178.0,0.0,37178.0,37178.0,0,1,0,0,80,40,1.2922004396711997,0.6461002198355997,0.0,46.0,30.71428571428571,21.684973950597573,470.2380952380952,0,0,0,1,1,0,0,0,0.0,35.833333333333336,19.25,46.0,0,0,0,0,0,0,4,77,2,92,-1,360,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,0,normal
6626404,129.158.72.21-172.31.66.121-56889-3389-6,129.158.72.21,56889,172.31.66.121,3389,6,20/02/2018 08:55:58,1127340,8,7,1052.0,1429.0,581.0,0.0,131.5,196.37209577737872,1149.0,0.0,204.14285714285708,420.4990798925441,2200.755761349726,13.305657565596892,80524.28571428571,255987.1821350643,968741.0,3.0,1127340.0,161048.57142857142,381944.9179108846,1026973.0,3.0,1114653.0,185775.5,384101.91055278544,968741.0,13853.0,0,0,0,0,172,152,7.096350701651676,6.2093068639452165,0.0,1149.0,155.06249999999997,302.8970053224913,91746.59583333335,0,0,1,1,0,0,0,1,0.0,165.4,131.5,204.1428571428572,0,0,0,0,0,0,8,1052,7,1429,8192,62948,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,0,normal
6314547,172.31.65.117-23.218.55.94-51263-443-6,172.31.65.117,51263,23.218.55.94,443,6,20/02/2018 11:53:46,105120546,16,24,1789.0,3492.0,270.0,0.0,111.8125,116.18675699063124,1053.0,0.0,145.50000000000006,235.55577203526653,50.23756250276706,0.3805155273832006,2695398.6153846155,5764629.090818004,14914967.0,1.0,105120546.0,7008036.399999999,7603898.590261698,14914967.0,126951.0,105099616.0,4569548.52173913,6974719.669465895,14936234.0,1.0,1,0,0,0,320,480,0.1522062109532802,0.2283093164299204,0.0,1053.0,134.09756097560975,193.43084098432297,37415.49024390244,0,1,0,0,1,0,0,0,1.0,137.45,111.8125,145.5,0,0,0,0,0,0,16,1789,24,3492,254,2105,7,20,137708.7142857143,11188.587008112116,158091.0,126951.0,14861275.57142857,31810.08468948772,14914967.0,14824695.0,Benign,0,normal
7887478,172.31.67.95-94.25.169.113-445-35818-6,94.25.169.113,35818,172.31.67.95,445,6,20/02/2018 10:06:32,1088596,6,6,389.0,209.0,103.0,0.0,64.83333333333333,50.5308486636299,131.0,0.0,34.83333333333333,50.83863360345818,549.3314324138615,11.023373225696218,98963.27272727274,155094.1939397416,495922.0,3.0,1088531.0,217706.2,178285.36356554905,496014.0,3.0,1088550.0,217710.0,166943.79749933808,495963.0,43404.0,0,0,0,0,132,144,5.511686612848108,5.511686612848108,0.0,131.0,46.0,50.56513950671285,2556.833333333333,0,0,0,1,0,0,0,0,1.0,49.83333333333334,64.83333333333333,34.833333333333336,0,0,0,0,0,0,6,389,6,209,8192,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,0,normal
7280736,172.31.0.2-172.31.64.74-53-62374-17,172.31.64.74,62374,172.31.0.2,53,17,20/02/2018 11:28:42,1062,1,1,33.0,49.0,33.0,33.0,33.0,0.0,49.0,49.0,49.0,0.0,77212.80602636535,1883.2391713747645,1062.0,0.0,1062.0,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,941.6195856873824,941.6195856873824,33.0,49.0,38.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,57.5,33.0,49.0,0,0,0,0,0,0,1,33,1,49,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,0,normal
5581176,172.31.0.2-172.31.69.10-53-51869-17,172.31.69.10,51869,172.31.0.2,53,17,20/02/2018 12:13:16,468,1,1,40.0,56.0,40.0,40.0,40.0,0.0,56.0,56.0,56.0,0.0,205128.20512820515,4273.504273504273,468.0,0.0,468.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2136.7521367521367,2136.7521367521367,40.0,56.0,45.33333333333334,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,68.0,40.0,56.0,0,0,0,0,0,0,1,40,1,56,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,0,normal
5402899,172.31.68.25-178.255.83.1-50941-80-6,172.31.68.25,50941,178.255.83.1,80,6,20/02/2018 10:16:50,1031,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1939.8642095053349,1031.0,0.0,1031.0,1031.0,1031.0,1031.0,0.0,1031.0,1031.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1939.8642095053349,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,253,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,0,normal
3501431,172.31.0.2-172.31.66.124-53-64680-17,172.31.66.124,64680,172.31.0.2,53,17,20/02/2018 04:22:35,20468,1,1,40.0,100.0,40.0,40.0,40.0,0.0,100.0,100.0,100.0,0.0,6839.945280437756,97.71350400625366,20468.0,0.0,20468.0,20468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,48.85675200312683,48.85675200312683,40.0,100.0,60.0,34.64101615137755,1200.0,0,0,0,0,0,0,0,0,1.0,90.0,40.0,100.0,0,0,0,0,0,0,1,40,1,100,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,0,normal
757749,172.31.0.2-172.31.64.65-53-50108-17,172.31.64.65,50108,172.31.0.2,53,17,20/02/2018 08:56:55,1015,1,1,58.0,144.0,58.0,58.0,58.0,0.0,144.0,144.0,144.0,0.0,199014.7783251232,1970.4433497536943,1015.0,0.0,1015.0,1015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,985.2216748768471,985.2216748768471,58.0,144.0,86.66666666666669,49.652123150307816,2465.333333333333,0,0,0,0,0,0,0,0,1.0,130.0,58.0,144.0,0,0,0,0,0,0,1,58,1,144,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,0,normal
5047913,172.31.0.2-172.31.67.6-53-65507-17,172.31.67.6,65507,172.31.0.2,53,17,20/02/2018 10:36:01,599,1,1,30.0,94.0,30.0,30.0,30.0,0.0,94.0,94.0,94.0,0.0,207011.68614357265,3338.89816360601,599.0,0.0,599.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1669.4490818030054,1669.4490818030054,30.0,94.0,51.33333333333333,36.95041722813605,1365.3333333333333,0,0,0,0,0,0,0,0,1.0,77.0,30.0,94.0,0,0,0,0,0,0,1,30,1,94,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,0,normal
